Title,Year,Language,Genre,Release date (India),Runtime(mins),Banner,Director,Cast
TRON: Ares,2025,English,"Sci-Fi, Adventure",10-10-2025,119,"Walt Disney Pictures, Sean Bailey Productions",Joachim Rønning,"Jared Leto, Greta Lee"
Night of the Reaper,2025,English,Thriller,16-10-2025,93,"Not the Funeral Home, Superchill",Brandon Christensen,"Jessica Clement, Ryan Robbins"
Bambi: The Reckoning,2025,English,Thriller,11-07-2025,80,Jagged Edge Productions,Dan Allen,"Roxanne McKee, Tom Mulheron"
The Hand That Rocks the Cradle,2025,English,Thriller,21-10-2025,102,"20th Century Studios, Radar Pictures",Michelle Garza Cervera,"Maika Monroe, Mary Elizabeth Winstead"
Jurassic World Rebirth,2025,English,"Sci-Fi, Adventure",04-07-2025,134,"Universal Pictures, Amblin Entertainment",Gareth Edwards,"Scarlett Johansson, Mahershala Ali"
Vicious,2025,English,Thriller,19-09-2025,98,"Atlas Independent, Paramount Pictures",Bryan Bertino,"Dakota Fanning, Kathryn Hunter"
Valiant One,2025,English,"Thriller, Action",30-01-2025,86,"Monarch Media, Goldmann Pictures",Steve Barnett,"Chase Stokes, Lana Condor"
One Battle After Another,2025,English,"Action, Thriller",26-09-2025,162,"Warner Bros. Pictures, Ghoulardi Film Company",Paul Thomas Anderson,"Leonardo DiCaprio, Sean Penn"
How to Train Your Dragon,2025,English,"Fantasy, Action",13-06-2025,125,"DreamWorks Animation, Marc Platt Productions",Dean DeBlois,"Mason Thames, Nico Parker"
F1,2025,English,Action,27-06-2025,156,"Plan B Entertainment, Jerry Bruckheimer Films",Joseph Kosinski,"Brad Pitt, Damson Idris"
Gabby's Dollhouse: The Movie,2025,English,"Adventure, Animation",17-10-2025,98,"Universal Pictures, DreamWorks Animation",Ryan Crego,"Laila Lockhart Kraner, Gloria Estefan"
The Bad Guys 2,2025,English,"Adventure, Animation",01-08-2025,103,DreamWorks Animation,Pierre Perifel,"Sam Rockwell, Marc Maron"
Lilo & Stitch,2025,English,"Sci-Fi, Adventure",23-05-2025,108,"Walt Disney Pictures, Rideback",Dean Fleischer Camp,"Maia Kealoha, Sydney Agudong"
Nobody 2,2025,English,"Action, Thriller",22-08-2025,89,"Universal Pictures, 87North Productions",Timo Tjahjanto,"Bob Odenkirk, Connie Nielsen"
A Big Bold Beautiful Journey,2025,English,Fantasy,19-09-2025,109,"Imperative Entertainment, 30WEST",Kogonada,"Colin Farrell, Margot Robbie"
Dead of Winter,2025,English,Thriller,23-09-2025,98,"Stampede Ventures, Augenschein Filmproduktion",Brian Kirk,"Emma Thompson, Judy Greer"
Ballerina,2025,English,"Action, Thriller",12-06-2025,125,"Thunder Road, 87Eleven",Len Wiseman,"Ana de Armas, Keanu Reeves"
Elio,2025,English,"Adventure, Animation",20-06-2025,98,Pixar,"Madeline Sharafian, Domee Shi","Yonas Kibreab, Remy Edgerly"
Ice Road: Vengeance,2025,English,"Action, Thriller",27-06-2025,113,"Code Entertainment, Shivhans Pictures",Jonathan Hensleigh,"Liam Neeson, Fan Bingbing"
The Naked Gun,2025,English,Action,01-08-2025,85,"Fuzzy Door Productions, Paramount Pictures",Akiva Schaffer,"Liam Neeson, Pamela Anderson"
The Lost Bus,2025,English,Thriller,19-09-2025,130,"Blumhouse Productions, Comet Pictures",Paul Greengrass,"Matthew McConaughey, America Ferrera"
M3GAN 2.0,2025,English,"Action, Sci-Fi",27-06-2025,120,"Blumhouse Productions, Atomic Monster",Gerard Johnstone,"Allison Williams, Violet McGraw"
A Working Man,2025,English,"Action, Thriller",26-03-2025,116,"Cedar Park Entertainment, BlockFilm",David Ayer,"Jason Statham, Jason Flemyng"
The Gorge,2025,English,"Sci-Fi, Thriller",13-02-2025,127,"Skydance Media, Crooked Highway",Scott Derrickson,"Miles Teller, Anya Taylor-Joy"
The Perfect Neighbor,2025,English,Thriller,10-10-2025,98,"Park Pictures Features, Message Pictures",Geeta Gandbhir,"Susan Lorincz, Ajike �AJ� Owens"
Thunderbolts*,2025,English,"Action, Sci-Fi",01-05-2025,127,"Marvel Studios, Kevin Feige Productions",Jake Schreier,"Florence Pugh, Sebastian Stan"
Red Sonja,2025,English,"Adventure, Action",31-07-2025,110,"Millennium Media, Mark Canton Productions",MJ Bassett,"Matilda Lutz, Robert Sheehan"
A Minecraft Movie,2025,English,"Fantasy, Adventure",04-04-2025,101,"Warner Bros. Pictures, Legendary Pictures",Jared Hess,"Jason Momoa, Jack Black"
Karate Kid: Legends,2025,English,"Action, Adventure",30-05-2025,94,"Columbia Pictures, Sunswept Entertainment",Jonathan Entwistle,"Jackie Chan, Ben Wang"
I Know What You Did Last Summer,2025,English,Thriller,16-07-2025,111,"Columbia Pictures, Mandalay Pictures",Jennifer Kaytin Robinson,"Joshua Orpin, Freddie Prinze Jr."
Smurfs,2025,English,"Animation, Fantasy",18-07-2025,89,"Paramount Animation, Marcy Media",Chris Miller,"Rihanna, James Corden"
Frankenstein,2025,English,Sci-Fi,17-10-2025,150,"Double Dare You, Demilo Films",Guillermo del Toro,"Oscar Isaac, Jacob Elordi"
Freakier Friday,2025,English,Fantasy,06-08-2025,111,"Walt Disney Pictures, Burr! Productions",Nisha Ganatra,"Lindsay Lohan, Jamie Lee Curtis"
28 Years Later,2025,English,"Thriller, Sci-Fi",20-06-2025,115,"Columbia Pictures, DNA Films",Danny Boyle,"Jodie Comer, Alfie Williams"
Sinners,2025,English,"Action, Thriller",18-04-2025,138,"Warner Bros. Pictures, Proximity Media",Ryan Coogler,"Michael B. Jordan, Hailee Steinfeld"
Heads of State,2025,English,"Action, Thriller",24-06-2025,117,"The Safran Company, Big Indie Pictures",Ilya Naishuller,"John Cena, Idris Elba"
Caught Stealing,2025,English,Thriller,26-08-2025,107,"Protozoa Pictures, TSG Entertainment",Darren Aronofsky,"Austin Butler, Regina King"
Predator: Killer of Killers,2025,English,"Animation, Action",05-06-2025,85,"20th Century Studios, Davis Entertainment",Dan Trachtenberg,"Lindsay LaVanchy, Louis Ozawa"
Eenie Meanie,2025,English,"Thriller, Action",21-08-2025,106,"20th Century Studios, Reese Wernick Productions",Shawn Simmons,"Samara Weaving, Karl Glusman"
Predator: Badlands,2025,English,"Action, Sci-Fi",07-11-2025,106,"20th Century Studios, Lawrence Gordon Productions",Dan Trachtenberg,"Elle Fanning, Dimitrius Schuster-Koloamatangi"
Night Carnage,2025,English,Action,29-07-2025,80,"Church Hill Productions, Lux Angeles Studios",Thomas J. Churchill,"Sadie Katz, Christian Howard"
The Accountant²,2025,English,Thriller,23-04-2025,133,"Artists Equity, 51 Entertainment",Gavin O'Connor,"Ben Affleck, Jon Bernthal"
Good Boy,2025,English,Thriller,01-10-2025,73,What’s Wrong with Your Dog,Ben Leonberg,"Indy, Shane Jensen"
Osiris,2025,English,"Sci-Fi, Action",25-07-2025,108,"Roosevelt Film Lab, Denton Film",William Kaufman,"Max Martini, Brianna Hildebrand"
The Amateur,2025,English,"Thriller, Action",10-04-2025,123,"20th Century Studios, Hutch Parker Entertainment",James Hawes,"Rami Malek, Holt McCallany"
Captain America: Brave New World,2025,English,"Action, Thriller",14-02-2025,119,"Marvel Studios, Kevin Feige Productions",Julius Onah,"Anthony Mackie, Harrison Ford"
The Pickup,2025,English,Action,27-07-2025,94,"The Story Company, Davis Entertainment",Tim Story,"Eddie Murphy, Pete Davidson"
Avatar: Fire and Ash,2025,English,"Sci-Fi, Adventure",19-12-2025,192,"20th Century Studios, Lightstorm Entertainment",James Cameron,"Sam Worthington, Zoe Saldaña"
After the Hunt,2025,English,Thriller,09-10-2025,139,"Frenesy Film, Imagine Entertainment",Luca Guadagnino,"Julia Roberts, Ayo Edebiri"
Trust,2025,English,Thriller,22-08-2025,86,"Twisted Pictures, Koulest Productions",Carlson Young,"Sophie Turner, Rhys Coiro"
Clown in a Cornfield,2025,English,Thriller,08-05-2025,96,"Temple Hill Entertainment, Rhea Films",Eli Craig,"Katie Douglas, Aaron Abrams"
Highest 2 Lowest,2025,English,Thriller,14-08-2025,133,"A24, 40 Acres and a Mule Filmworks",Spike Lee,"Denzel Washington, Jeffrey Wright"
Opus,2025,English,Thriller,13-03-2025,104,"A24, Makeready",Mark Anthony Green,"Ayo Edebiri, John Malkovich"
Companion,2025,English,"Sci-Fi, Thriller",31-01-2025,97,"BoulderLight Pictures, New Line Cinema",Drew Hancock,"Sophie Thatcher, Jack Quaid"
Afterburn,2025,English,"Sci-Fi, Action",20-08-2025,105,"Endurance Media, G-BASE",J.J. Perry,"Dave Bautista, Olga Kurylenko"
Hostile Takeover,2025,English,"Action, Thriller",08-08-2025,89,"Dovetale Media, Fun Republic Pictures",Michael Hamilton-Wright,"Michael Jai White, Aimee Stolte"
The Ritual,2025,English,Thriller,13-06-2025,98,"Cinemachineshop, Redbird Entertainment",David Midell,"Dan Stevens, Abigail Cowen"
Dangerous Animals,2025,English,Thriller,05-06-2025,98,"LD Entertainment, Brouhaha Entertainment",Sean Byrne,"Hassie Harrison, Jai Courtney"
Rumpelstiltskin,2025,English,Fantasy,08-03-2025,87,Paranoid Android Films,Andy Edwards,"Hannah Baxter-Eve, Joss Carter"
Stay,2025,English,Thriller,07-10-2025,98,Andscape,Jas Summers,"Megalyn Echikunwoke, Mo McRae"
Snow White,2025,English,Fantasy,21-03-2025,109,"Walt Disney Pictures, Marc Platt Productions",Marc Webb,"Rachel Zegler, Gal Gadot"
William Tell,2025,English,"Action, Adventure",17-01-2025,133,"Tempo Productions, Groenlandia",Nick Hamm,"Claes Bang, Connor Swindells"
A Line of Fire,2025,English,"Action, Thriller",05-04-2025,86,"Panoramic Pictures, Roaming Elephant Production",Matt Shapira,"David A.R. White, Cuba Gooding Jr."
STRAW,2025,English,Thriller,05-06-2025,105,Tyler Perry Studios,Tyler Perry,"Taraji P. Henson, Sherri Shepherd"
